latitude,longitude,city,area,time_of_day,weather,traffic_index,road_type,severity,risk_probability,risk_score
22.292450712295167,70.77892603548244,Rajkot,150 Feet Ring Road,7,Rain,8,Arterial,Fatal,Medium Risk,59
23.042715328071512,72.59184544784613,Ahmedabad,Ashram Road,0,Clear,7,Arterial,Minor,Medium Risk,56
23.04148769937915,72.50448794564576,Ahmedabad,SG Highway,23,Rain,9,Arterial,Fatal,High Risk,87
21.78168819223261,72.1495115209373,Bhavnagar,Waghawadi Road,21,Fog,1,Highway,Fatal,Medium Risk,43
21.18895788421098,72.84413840065379,Surat,Ring Road,3,Clear,9,Highway,Serious,Medium Risk,62
21.137048734607813,72.75901405369645,Surat,Dumas Road,11,Rain,7,Rural,Fatal,Medium Risk,56
21.14762943407349,72.73730079633013,Surat,Dumas Road,23,Clear,1,Rural,Minor,Low Risk,38
23.038126232512305,72.50956568706138,Ahmedabad,SP Ring Road,2,Clear,1,Highway,Minor,Low Risk,38
21.742807533194984,72.14271370998894,Bhavnagar,Waghawadi Road,12,Fog,5,Rural,Serious,Medium Risk,55
23.019379638867182,72.54781544447998,Ahmedabad,Ashram Road,19,Clear,8,Urban,Minor,Medium Risk,54
22.306984731533824,70.7776133554927,Rajkot,150 Feet Ring Road,5,Rain,9,Urban,Fatal,High Risk,87
21.75901292307032,72.1166287772068,Bhavnagar,Waghawadi Road,10,Clear,6,Highway,Fatal,Low Risk,28
22.364834259132124,73.16866383884565,Vadodara,NE1 Expressway,22,Clear,8,Arterial,Serious,Medium Risk,59
23.015735096338666,72.57463547027518,Ahmedabad,Ashram Road,3,Clear,6,Urban,Minor,Medium Risk,53
22.251990419651218,70.79962459375311,Rajkot,Gondal Road,19,Rain,6,Urban,Serious,High Risk,73
22.31197440081656,73.18278417276764,Vadodara,Gotri Road,15,Clear,4,Arterial,Minor,Low Risk,22
23.04479754162893,72.49213433606566,Ahmedabad,SG Highway,6,Rain,5,Rural,Serious,Medium Risk,50
23.05733817368155,72.48968734525043,Ahmedabad,SG Highway,21,Clear,2,Arterial,Minor,Low Risk,16
23.036132953925073,72.5396049481418,Ahmedabad,Ashram Road,10,Clear,3,Rural,Minor,Low Risk,19
21.12407720926652,72.76895291853805,Surat,Dumas Road,23,Fog,3,Rural,Fatal,High Risk,74
21.15507699869993,72.76857052421785,Surat,Dumas Road,0,Fog,5,Arterial,Fatal,High Risk,80
22.371265275764177,73.16248344456616,Vadodara,NE1 Expressway,6,Clear,5,Rural,Minor,Low Risk,25
22.238822170144488,70.79320233687407,Rajkot,Gondal Road,11,Rain,6,Urban,Serious,Medium Risk,53
23.038090418435605,72.52385683339328,Ahmedabad,SG Highway,6,Clear,5,Highway,Minor,Low Risk,25
22.37815427434353,73.14055439766956,Vadodara,NE1 Expressway,22,Fog,6,Rural,Fatal,High Risk,83
21.14886125954092,72.76022376579375,Surat,Dumas Road,6,Cloudy,8,Urban,Minor,Medium Risk,44
21.74784616999541,72.14717514433262,Bhavnagar,Waghawadi Road,9,Cloudy,2,Arterial,Minor,Low Risk,26
22.30046499283744,70.79496920178674,Rajkot,150 Feet Ring Road,15,Fog,4,Rural,Serious,Medium Risk,52
